DiscTag,sex,length
3D61534920CA4,F,84.5
3D61534920CA5,F,52
3D61534920CA8,F,114
3D61534920CA9,F,140
3D61534920CAB,F,95
3D61534920CAD,F,58
3D61534920CAE,F,165
3D61534920CAF,F,145
3D61534920CB3,F,108
3D61534920CB4,F,134
3D61534920CB6,F,126
3D61534920CB7,F,133
3D61534920CB8,F,60
3D61534920CBA,F,141
3D61534920CBC,F,104.5
3D61534920CC0,F,104
3D61534920CC1,F,165
3D61534920CC3,F,151.5
3D61534920CC4,F,121
3D61534920CC5,F,105.5
3D61534A21943,F,131
3D61534A21944,F,139
3D61534A21945,F,90
3D61534A21946,F,120
3D61534A21947,F,74
3D61534A21948,F,101
3D61534A21949,F,99
3D61534A2194A,F,80
3D61534A2194B,F,76
3D61534A2194C,F,83
3D61534A2194D,F,139
3D61534A2194E,F,82
3D61534A2194F,F,94
3D61534A21950,F,190
3D61534A21951,F,131
3D61534A21952,F,100
3D61534A21953,F,104
3D61534A21954,F,167
3D61534A21955,F,148
3D61534A21957,F,87
3D61534A21958,F,133
3D61534A21959,F,101
3D61534A2195A,F,96
3D61534A2195B,F,74
3D61534A2195D,F,46
3D61534A2195E,F,147
3D61534A2195F,F,91
3D61534A21960,F,85
3D61534A21961,F,143
3D61534A21962,F,96
3D61534A21963,F,122
3D61534A21964,F,144
3D61534A21965,F,86
3D61534A21966,F,80
3D61534A21967,F,131
3D61534A21968,F,86
3D61534A21969,F,108
3D61534A2196A,F,118
3D61534A2196B,F,79
3D61534A2196C,F,115
3D61534A2196D,F,155
3D61534A2196E,F,136
3D61534A2196F,F,142
3D61534A21970,F,85
3D61534A21971,F,129
3D61534A21972,F,89
3D61534A21973,F,87
3D61534A21974,F,150
3D61534A21975,F,83
3D61534A21976,F,93
3D61534A21977,F,152
3D61534A21978,F,77
3D61534A21979,F,81
3D61534A2197A,F,93
3D61534A2197B,F,95
3D61534A2197C,F,154
3D61534A2197D,F,106
3D61534A2197E,F,108
3D61534A2197F,F,145
3D61534A21980,F,101
3D61534A21981,F,112
3D61534A21982,F,126
3D61534A21983,F,168
3D61534A21984,F,140
3D61534A21985,F,96
3D61534A21986,F,181
3D61534A21987,F,93
3D61534A21988,F,144
3D61534A21989,F,90
3D61534A2198A,F,154
3D61534A2198B,F,101
3D61534A2198C,F,173
3D61534A2198D,F,126
3D61534A2198E,F,96
3D61534A2198F,F,143
3D61534A21990,F,123
3D61534A21991,F,82
3D61534A21992,F,113
3D61534A21993,F,101
3D61534A21995,F,83
3D61534A21996,F,74.5
3D61534A21997,F,82
3D61534A21998,F,101
3D61534A21999,F,111
3D61534A2199A,F,86
3D61534A2199B,F,135
3D61534A2199C,F,86
3D61534A2199E,F,129
3D61534A2199F,F,93
3D61534A219A0,F,98
3D61534A219A1,F,136
3D61534A219A2,F,113
3D61534A219A3,F,94
3D61534A219A4,F,104
3D61534A219A5,F,105
3D61534A219A6,F,94
3D61534A219A7,F,135
3D61534A219A8,F,96
3D61534A219A9,F,121
3D61534A219AA,F,111
3D61534A219AB,F,92
3D61534A219AC,F,92
3D61534A219AD,F,91
3D61534A219AF,F,154
3D61534A219B0,F,90
3D61534A219B1,F,85
3D61534A219B2,F,107
3D61534A219B3,F,136
3D61534A219B4,F,144
3D61534A219B5,F,154
3D61534A219B6,F,146
3D61534A219B7,F,101
3D61534A219B8,F,123
3D61534A219B9,F,113
3D61534A219BA,F,92
3D61534A219BB,F,111
3D61534A219BD,F,130
3D61534A219BE,F,147
3D61534A219BF,F,91
3D61534A219C1,F,113
3D61534A219C2,F,101
3D61534A219C3,F,54
3D61534A219C4,F,102
3D61534A219C5,F,114
3D61534A219C6,F,138
3D61534A219C7,F,134
3D61534A219C8,F,117
3D61534A219C9,F,173
3D61534A219CA,F,97
3D61534A219CB,F,132
3D61534A219CC,F,112
3D61534A219CD,F,143
3D61534A219CE,F,105
3D61534A219CF,F,106
3D61534A219D0,F,85
3D61534A219D1,F,97
3D61534A219D2,F,105
3D61534A219D3,F,143
3D61534A219D4,F,95
3D61534A219D6,F,144
3D61534A219D7,F,92
3D61534A219D8,F,121
3D61534A219D9,F,78
3D61534A219DA,F,90
3D61534A219DB,F,111
3D61534A219DC,F,134
3D61534A219DD,F,162
3D61534A219DE,F,91
3D61534A219DF,F,95
3D61534A219E0,F,113
3D61534A219E1,F,83
3D61534A219E2,F,121
3D61534A219E3,F,149
3D61534A219E4,F,132
3D61534A219E5,F,98
3D61534A219E6,F,88
3D61534A219E7,F,137
3D61534A219E8,F,143
3D61534A219E9,F,96
3D61534A219EA,F,139
3D61534A219EB,F,109
3D61534A219EC,F,118
3D61534A219ED,F,120
3D61534A219EE,F,102
3D61534A219EF,F,84
3D61534A219F0,F,171
3D61534A219F1,F,130
3D61534A219F2,F,90
3D61534A219F3,F,91
3D61534A219F4,F,141
3D61534A219F5,F,98
3D61534A219F6,F,92
3D61534A219F7,F,92
3D61534A219F8,F,156
3D61534A219F9,F,152
3D61534A219FA,F,108
3D61534A219FB,F,96
3D61534A219FC,F,168
3D61534A219FD,F,98
3D61534A219FE,F,107
3D61534A219FF,F,123
3D61534A21A00,F,125
3D61534A21A01,F,106
3D61534A21A02,F,132
3D61534A21A03,F,124
3D61534A21A04,F,124
3D61534A21A05,F,82
3D61534A21A06,F,83
3D61534A21A07,F,148
3D61534A21A08,F,144
3D61534A21A09,F,167
3D61534A21A0A,F,103
3D61534A21A0C,F,83
3D61534A21A0D,F,100
3D61534A21A0E,F,108
3D61534A21A0F,F,89
3D61534A21A10,F,83
3D61534A21A13,F,79
3D61534A21A14,F,106
3D61534A21A15,F,100
3D61534A21A16,F,80
3D61534A21A17,F,88
3D61534A21A18,F,133
3D61534A21A19,F,137
3D61534A21A1B,F,48
3D61534A21A1C,F,119
3D61534A21E05,F,82
3D61534A21E06,F,90
3D61534A21E07,F,128
3D61534A21E08,F,91
3D61534A21E09,F,127
3D61534A21E0A,F,90
3D61534A21E0B,F,94
3D61534A21E0C,F,180
3D61534A21E0D,F,140
3D61534A21E0E,F,121
3D61534A21E0F,F,114
3D61534A21E11,F,129
3D61534A21E12,F,87
3D61534A21E13,F,147
3D61534A21E14,F,160
3D61534A21E15,F,121
3D61534A21E16,F,140.5
3D61534A21E17,F,123
3D61534A21E18,F,103
3D61534A21E19,F,142
3D61534A21E1B,F,81
3D61534A21E1C,F,166
3D61534A21E1D,F,87
3D61534A21E1E,F,151
3D61534A21E1F,F,121
3D61534A21E20,F,159
3D61534A21E21,F,114
3D61534A21E22,F,106
3D61534A21E23,F,93
3D61534A21E24,F,99
3D61534A21E25,F,107
3D61534A21E27,F,82
3D61534A21E28,F,102
3D61534A21E29,F,87
3D61534A21E2A,F,108
3D61534A21E2B,F,92
3D61534A21E2C,F,103
3D61534A21E2D,F,72
3D61534A21E2E,F,89
3D61534A21E2F,F,161
3D61534A21E30,F,93
3D61534A21E31,F,92
3D61534A21E32,F,186
3D61534A21E33,F,139
3D61534A21E34,F,138
3D61534A21E35,F,103
3D61534A21E36,F,98
